Naam,Ploeg,Prijs (M),#Koersen,OML,KBK,SAM,STRADE,NK,BKC,MSR,RVB,E3,GW,DDV,RVV,SCHELD,PR,RVL,BP,AG,WP,LBL,Totaal_Verwacht,Punten_per_Miljoen
De Bondt Dries,Team Jayco AlUla,4,11,3.8,2.2,0.0,6.3,3.7,2.6,0.0,0.0,2.4,4.8,17.0,7.5,0.0,11.4,3.1,3.3,0.0,0.0,0.0,68.1,17.02
Gruel Thibaud,Groupama - FDJ United,3,6,5.6,0.0,4.7,0.0,5.4,0.0,0.0,0.0,16.2,4.9,10.3,10.4,0.0,10.4,0.0,0.0,0.0,0.0,0.0,67.9,22.63
Pluimers Rick,Tudor Pro Cycling Team,4,7,7.4,22.9,0.0,0.0,0.0,0.0,3.5,0.0,2.6,0.0,13.3,9.0,0.0,0.0,1.1,0.0,7.7,0.0,0.0,67.5,16.88
Naesen Oliver,Decathlon CMA CGM Team,3,7,9.8,4.6,0.0,0.0,0.0,0.0,2.6,0.0,7.9,6.9,5.2,22.4,0.0,5.4,2.0,0.0,0.0,0.0,0.0,66.8,22.27
Bissegger Stefan,Decathlon CMA CGM Team,3,5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,5.8,6.5,11.0,0.0,31.7,0.0,0.0,0.0,0.0,0.0,66.4,22.13
Dauphin Florian,Team TotalEnergies,2,3,0.0,13.1,13.4,0.0,0.0,0.0,0.0,4.5,0.0,3.3,8.3,10.3,2.1,8.6,0.0,0.0,0.0,0.0,0.0,63.6,31.8
Livyns Arjen,XDS Astana Team,3,6,10.2,0.0,0.0,2.3,6.1,1.9,0.0,5.3,3.3,1.8,21.0,3.7,0.0,6.3,1.5,0.0,0.0,0.0,0.0,63.4,21.13
Strong Corbin,NSN Cycling Team,4,0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.2,0.0,0.0,0.0,63.2,15.8
Bilbao Pello,Bahrain - Victorious,4,4,0.0,0.0,0.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,7.6,17.0,62.6,15.65
Albanese Vincenzo,EF Education - EasyPost,3,10,11.9,3.8,0.0,4.9,0.0,0.0,5.7,3.9,8.6,5.5,5.5,5.6,0.0,3.4,1.2,0.0,0.0,0.0,0.0,60.0,20.0
Skujiņš Toms,Lidl - Trek,4,7,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,21.7,4.7,6.9,12.1,0.0,0.0,0.0,0.0,3.7,0.0,0.0,59.1,14.78
Vansevenant Mauri,Soudal Quick-Step,4,1,0.0,0.0,0.0,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,15.5,5.9,16.7,58.9,14.72
Sheffield Magnus,INEOS Grenadiers,5,1,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7,5.4,4.3,21.9,0.0,0.0,0.0,0.0,4.0,0.0,0.0,58.4,11.68
Marit Arne,Red Bull - BORA - hansgrohe,4,8,3.4,13.7,7.5,0.0,3.9,0.0,0.0,0.0,3.7,5.6,7.4,0.0,2.2,9.2,0.9,0.0,0.0,0.0,0.0,57.5,14.38
Segaert Alec,Bahrain - Victorious,4,9,3.0,2.0,4.5,0.0,8.0,0.0,0.0,0.0,6.1,3.1,9.5,5.3,0.0,15.7,0.0,0.0,0.0,0.0,0.0,57.2,14.3
Van Eetvelt Lennert,Lotto-Intermarché,5,4,0.0,0.0,0.0,22.6,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,0.0,0.0,4.3,15.3,57.0,11.4
Degenkolb John,Team Picnic PostNL,3,6,1.6,1.2,0.0,0.0,0.0,0.0,2.0,0.0,0.0,16.4,4.6,0.0,0.0,27.1,3.8,0.0,0.0,0.0,0.0,56.7,18.9
Alaphilippe Julian,Tudor Pro Cycling Team,4,5,0.0,0.0,0.0,11.3,0.0,0.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,0.0,10.7,9.7,7.8,56.2,14.05
Canal Carlos,Movistar Team,3,3,3.9,7.8,0.0,0.0,0.0,0.0,0.0,7.2,3.6,13.5,13.8,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.9,18.3
Penhoët Paul,Groupama - FDJ United,4,2,0.0,4.0,10.7,0.0,23.2,5.9,0.0,6.4,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.5,13.62
Dekker David,BEAT Cycling Club ,3,1,0.0,0.0,5.4,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,27.8,0.0,0.0,8.1,0.0,0.0,0.0,54.1,18.03
Honoré Mikkel Frølich,EF Education - EasyPost,3,6,3.1,2.0,0.0,2.4,0.0,0.0,7.6,4.1,2.5,4.1,6.4,3.6,0.0,0.0,0.4,9.3,3.9,0.0,4.1,53.5,17.83
Fedorov Yevgeniy,XDS Astana Team,3,1,0.0,0.0,0.0,0.0,0.0,0.0,4.5,10.9,8.5,10.2,0.0,8.0,0.0,10.3,0.0,0.0,0.0,0.0,0.0,52.4,17.47
Tesson Jason,Team TotalEnergies,3,1,0.0,0.0,3.2,0.0,3.2,20.5,0.0,25.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.3,17.43
Madouas Valentin,Groupama - FDJ United,4,6,4.4,0.0,0.0,5.5,0.0,0.0,0.0,0.0,8.0,3.5,5.9,17.1,0.0,0.0,0.0,7.1,0.0,0.0,0.0,51.5,12.88
Martinez Lenny,Bahrain - Victorious,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.5,14.4,50.9,10.18
Capiot Amaury,Team Jayco AlUla,3,11,4.1,3.1,0.0,0.0,2.2,2.9,0.0,6.5,5.5,5.5,3.6,6.9,0.0,6.9,3.7,0.0,0.0,0.0,0.0,50.9,16.97
Sénéchal Florian,Alpecin - Premier Tech,3,7,1.7,0.0,15.8,0.0,1.8,0.0,0.0,6.2,0.0,2.3,7.5,5.4,0.0,8.1,2.0,0.0,0.0,0.0,0.0,50.8,16.93
Johannessen Anders Halland,Uno-X Mobility,3,1,0.0,0.0,0.0,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,22.6,11.9,49.6,16.53
Johannessen Tobias Halland,Uno-X Mobility,5,4,0.0,0.0,0.0,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,22.6,11.9,49.6,9.92
Crabbe Tom,Team Flanders - Baloise,3,7,0.0,1.9,0.0,0.0,4.6,1.9,0.0,3.2,0.0,5.7,5.1,0.0,26.3,0.0,0.0,0.0,0.0,0.0,0.0,48.7,16.23
Laurance Axel,INEOS Grenadiers,4,5,0.0,0.0,0.0,3.9,0.0,0.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,4.7,10.7,23.9,48.5,12.12
Askey Lewis,NSN Cycling Team,4,6,10.7,6.4,0.0,0.0,0.0,0.0,4.8,0.0,2.5,3.8,3.8,6.4,0.0,10.0,0.0,0.0,0.0,0.0,0.0,48.4,12.1
Bettiol Alberto,XDS Astana Team,4,5,3.2,0.0,0.0,4.2,0.0,0.0,10.5,0.0,6.5,0.0,3.4,19.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.4,11.85
